分類,項目,單位,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
營業額,總營業額,元,14814318,14077943,14907424,16153658,14805773,16849434,16394345,17411832,13876507,16563498,17456266,19044810
營業額,電動床營收,元,10580866,10741165,11541573,11889381,10253067,11918490,11062721,11012914,8539776,11271969,11620914,12855394
營業額,乳膠床營收,元,4233452,3336778,3365851,4264277,4552706,4930944,5331624,6398918,5336731,5291529,5835352,6189416
電動床,M220,台,24,19,21,11,14,19,13,13,9,12,6,20
電動床,M230,台,27,39,19,36,26,13,22,19,34,28,19,24
電動床,M250 日康床,台,11,4,9,10,11,14,8,18,15,14,18,13
電動床,M260 旭日床,台,56,58,74,63,56,68,65,62,37,50,46,76
電動床,R300,台,5,0,0,1,0,0,0,8,2,0,1,0
電動床,R600,台,23,28,24,30,23,33,21,19,16,30,37,29
乳膠床,D95 高7.5,件,47,47,24,37,39,46,61,114,59,43,69,61
乳膠床,D95 高10,件,15,15,11,12,14,25,20,19,28,27,28,20
乳膠床,D95 高15,件,10,4,8,7,9,11,14,7,26,21,19,14
乳膠床,D95 高20,件,20,14,9,23,23,26,19,22,29,27,31,31
折疊床,3尺折疊床,件,23,22,7,18,11,9,13,48,7,12,21,14
折疊床,3.5尺折疊床,件,14,10,2,6,13,12,24,28,26,10,17,23
折疊床,5尺折疊床,件,2,1,0,0,1,8,3,7,6,8,6,4
