分類,項目,單位,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
營業額,總營業額,元,,,,,,,,,,,,
營業額,電動床營收,元,,,,,,,,,,,,
營業額,乳膠床營收,元,,,,,,,,,,,,
營業額,折疊床營收,元,,,,,,,,,,,,
電動床,M220,台,,,,,,,,,,,,
電動床,M230,台,,,,,,,,,,,,
電動床,M250 日康床,台,,,,,,,,,,,,
電動床,M260 旭日床,台,,,,,,,,,,,,
電動床,R300,台,,,,,,,,,,,,
電動床,R550,台,,,,,,,,,,,,
電動床,R600,台,,,,,,,,,,,,
乳膠床,D95 高7.5,件,,,,,,,,,,,,
乳膠床,D95 高10,件,,,,,,,,,,,,
乳膠床,D95 高15,件,,,,,,,,,,,,
乳膠床,D95 高20,件,,,,,,,,,,,,
乳膠床,D110 高15,件,,,,,,,,,,,,
乳膠床,D110 高20,件,,,,,,,,,,,,
折疊床,3尺折疊床,件,,,,,,,,,,,,
折疊床,3.5尺折疊床,件,,,,,,,,,,,,
折疊床,5尺折疊床,件,,,,,,,,,,,,
